"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Qawale","Standalone","For Sale","USD",25,"N/A","N/A","Gigamic","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",55,"368465","705127","","2024-03-00","",""
"Task Team","Standalone","For Sale","USD",25,"N/A","N/A","Gigamic","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",37,"393190","668967","","2024-05-29","",""
"Zoomino","Standalone","Demo","N/A","N/A","N/A","N/A","Gigamic","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",37,"411936","698209","","2024-09-20","",""
"Nekojima","Standalone","For Sale","USD",37,"N/A","N/A","Unfriendly Games","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",99,"359029","603949","","2023-11-00","",""
"Monster Chase","Standalone","For Sale","USD",15,"N/A","N/A","Scorpion Masqué","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",38,"43578","702507","","2024-05-22","",""
"Flashback: Lucy","Standalone","For Sale","USD",25,"N/A","N/A","Scorpion Masqué","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",48,"408308","692729","","2024-03-27","",""
"Dead Cells: The Rogue-Lite Board Game","Standalone","Demo","N/A","N/A","N/A","N/A","Scorpion Masqué","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",146,"380135","649312","","2024-12-00","",""
"Festival","Standalone","Demo","N/A","N/A","N/A","N/A","Scorpion Masqué","2435 / ICC 142 (Hachette Boardgames)","N/A","N/A",43,"413948","701183","","2024-09-00","",""
"3 of a Kind","Standalone","For Sale","USD",20,"N/A","N/A","Weird City Games","2956","N/A","N/A",8,"416027","704576","WCG61","2024-09-01","Q3 2024",""
"Canopy: Evergreen","Standalone","Demo","N/A","N/A","N/A","N/A","Weird City Games","2956","N/A","N/A",74,"391886","666862","","2024-09-00","Q3 2024",""
"Fruitoplay","Standalone","For Sale","USD",22,"N/A","N/A","Barrel Aged Games","2809","N/A","N/A",27,"394325","696924","","2024-08-16","",""
"Plantopia: The Card Game","Standalone","For Sale","USD",27,"N/A","N/A","Barrel Aged Games","2809","N/A","N/A",40,"316857","714571","","2024-08-16","",""
"Pixies","Standalone","Demo","N/A","N/A","N/A","N/A","Bombyx","638","N/A","N/A",58,"411875","698125","","2024-03-01","",""
"We're Sinking!: Swords & Souls","Expansion","For Sale","USD",12,"N/A","N/A","Ludamus Games","3060","N/A","N/A",8,"382413","653197","","2024-07-00","",""
"Toppings","Standalone","Demo","N/A","N/A","N/A","N/A","Ludamus Games","3060","N/A","N/A",20,"331857","552183","","2025-00-00","",""
"Cascadero","Standalone","For Sale","USD",49,"N/A","N/A","Bitewing Games","2658 (Elf Creek Games)","N/A","N/A",131,"401216","680755","","2024-04-00","",""
"Spectral","Standalone","For Sale","USD",45,"N/A","N/A","Bitewing Games","2658 (Elf Creek Games)","N/A","N/A",66,"388476","661316","","2024-04-00","",""
